Experiment Summary								
Readout group name	19July2021_MsWTA							
Date	8/4/2021 22:30							
Readout mode	NGS							
Number of Collection Plates	3							
Number Of AOIs	267							
Library Prep Protocol Version								
								
Library Prep Summary								
Library Prep Plate	Collection Plate	Primer Plate	Rows	Area				
19July2021_MsWTA-F	1.013E+12	GeoMx Seq Code F	A - H	5627357.19				
19July2021_MsWTA-G	1.013E+12	GeoMx Seq Code G	A - G	4434260.1				
19July2021_MsWTA-H	1.013E+12	GeoMx Seq Code H	A - H	5330410.34				
Total Area	15392028							
								
Annotations								
Sample_ID	slide name	scan name	panel	roi	segment	aoi	area	tags
DSP-1012998073013-F-A01	No Template Control							
DSP-1012998073013-F-A02	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	1	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-A03	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	2	Full ROI	Full ROI-aoi-001	65828.36	
DSP-1012998073013-F-A04	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	3	Full ROI	Full ROI-aoi-001	69552.04	
DSP-1012998073013-F-A05	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	4	Full ROI	Full ROI-aoi-001	111873.41	
DSP-1012998073013-F-A06	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	5	Full ROI	Full ROI-aoi-001	121261.33	
DSP-1012998073013-F-A07	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	6	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-A08	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	7	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-A09	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	8	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-A10	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	9	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-A11	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	10	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-A12	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	11	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-B01	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	12	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-B02	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	13	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-B03	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	14	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-B04	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	15	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-B05	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	16	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-B06	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	17	Full ROI	Full ROI-aoi-001	162905.05	
DSP-1012998073013-F-B07	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	18	Full ROI	Full ROI-aoi-001	131127.25	
DSP-1012998073013-F-B08	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	19	DNA	DNA-aoi-001	25693.11	
DSP-1012998073013-F-B09	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	20	DNA	DNA-aoi-001	15592.35	
DSP-1012998073013-F-B10	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	21	DNA	DNA-aoi-001	17105.29	
DSP-1012998073013-F-B11	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	22	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-B12	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	23	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-C01	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	24	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-C02	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	25	Full ROI	Full ROI-aoi-001	42449.58	
DSP-1012998073013-F-C03	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	26	Full ROI	Full ROI-aoi-001	49616.7	
DSP-1012998073013-F-C04	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	27	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-C05	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	28	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-C06	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	29	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-C07	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	30	NeuN+	NeuN+-aoi-001	24390.87	
DSP-1012998073013-F-C08	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	31	NeuN+	NeuN+-aoi-001	23815.36	
DSP-1012998073013-F-C09	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	32	NeuN+	NeuN+-aoi-001	35629.04	
DSP-1012998073013-F-C10	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	33	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012998073013-F-C11	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	34	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012998073013-F-C12	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	35	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012998073013-F-D01	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	36	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012998073013-F-D02	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	37	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012998073013-F-D03	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	38	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012998073013-F-D04	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	39	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012998073013-F-D05	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	40	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-D06	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	41	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-D07	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	42	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-D08	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	43	Full ROI	Full ROI-aoi-001	49658.58	
DSP-1012998073013-F-D09	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	44	Full ROI	Full ROI-aoi-001	89548.28	
DSP-1012998073013-F-D10	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	45	Full ROI	Full ROI-aoi-001	66907.27	
DSP-1012998073013-F-D11	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	46	Full ROI	Full ROI-aoi-001	119976.68	
DSP-1012998073013-F-D12	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	47	Full ROI	Full ROI-aoi-001	85109.06	
DSP-1012998073013-F-E01	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	49	NeuN+	NeuN+-aoi-001	7885.22	
DSP-1012998073013-F-E02	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	49	DNA	DNA-aoi-001	32270.49	
DSP-1012998073013-F-E03	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	50	NeuN+	NeuN+-aoi-001	5058.53	
DSP-1012998073013-F-E04	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	50	DNA	DNA-aoi-001	34107.31	
DSP-1012998073013-F-E05	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	51	NeuN+	NeuN+-aoi-001	4100.31	
DSP-1012998073013-F-E06	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	51	DNA	DNA-aoi-001	80648.1	
DSP-1012998073013-F-E07	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	52	NeuN+	NeuN+-aoi-001	2075.66	
DSP-1012998073013-F-E08	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	52	DNA	DNA-aoi-001	53061.42	
DSP-1012998073013-F-E09	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	53	Full ROI	Full ROI-aoi-001	62682.74	
DSP-1012998073013-F-E10	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	54	Full ROI	Full ROI-aoi-001	86525.6	
