SlideName	ScanLabel	ROILabel	SegmentLabel	SegmentDisplayName	QCFlags	AOISurfaceArea	AOINucleiCount	ROICoordinateX	ROICoordinateY	RawReads	AlignedReads	DeduplicatedReads	TrimmedReads	StitchedReads	SequencingSaturation	SequencingSetID	UMIQ30	RTSQ30	GeoMxNgsPipelineVersion	all_1	Scan_ID_2	pathology_1	glom_1	ROI_ID_2	disease_status_1	region_1	tubule_1	all	Scan_ID_1	Segment_type	pathology	glom	ROI_ID_1	disease_status	region	tubule	ROIID	SegmentID
normal3	normal3_scan	1	PanCK	normal3_scan | 001 | PanCK		20265.55289	223	24658	24538	3358935	3169018	419182	3333329	3303955	87.52038965		0.9949	0.9943	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan		exclude	1	normal	tubule	include	include	normal3_scan	distal_tubule		exclude	1	normal	tubule	include	8003e58b-829f-45fb-8a5a-9984ebb10917	9dd0593c-e89d-4f25-911a-84d02480eef4
normal3	normal3_scan	1	neg	normal3_scan | 001 | neg		91483.61982	450	24658	24538	5149518	4810145	797716	5096156	5046768	84.50891909		0.9939	0.9932	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan		exclude	1	normal	tubule	include	include	normal3_scan	proximal_tubule		exclude	1	normal	tubule	include	8003e58b-829f-45fb-8a5a-9984ebb10917	887d881e-76de-40ff-9755-203586de17a9
normal3	normal3_scan	2	PanCK	normal3_scan | 002 | PanCK		12966.08068	133	25404	18258	1727404	1632358	240515	1713003	1700055	86.07650555		0.9942	0.9934	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan		exclude	2	normal	tubule	include	include	normal3_scan	distal_tubule		exclude	2	normal	tubule	include	3024f119-2ac3-4b09-b14f-fa3c26082fb6	766240c4-a98b-4a69-9418-f10d78de7bb6
normal3	normal3_scan	2	neg	normal3_scan | 002 | neg		133866.4234	499	25404	18258	5262758	4870492	1030517	5213562	5175092	80.41868921		0.9937	0.9931	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan		exclude	2	normal	tubule	include	include	normal3_scan	proximal_tubule		exclude	2	normal	tubule	include	3024f119-2ac3-4b09-b14f-fa3c26082fb6	32d28f8c-06e2-4e6f-b041-c22c113f2714
normal3	normal3_scan	3	PanCK	normal3_scan | 003 | PanCK		23336.81498	195	5669	35254	2163275	2035419	313094	2145722	2129456	85.52685165		0.9944	0.9938	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan		exclude	3	normal	tubule	include	include	normal3_scan	distal_tubule		exclude	3	normal	tubule	include	b61187f1-aab8-425a-89a4-d5e2edaee943	f7cb007a-bd5c-4d25-b9ec-cba02c68605d
normal3	normal3_scan	3	neg	normal3_scan | 003 | neg		174741.5958	457	5669	35254	6265561	5796420	809264	6218544	6171994	87.0839339		0.9948	0.9941	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan		exclude	3	normal	tubule	include	include	normal3_scan	proximal_tubule		exclude	3	normal	tubule	include	b61187f1-aab8-425a-89a4-d5e2edaee943	1a5c10d7-8764-4540-90ba-2af51296e121
normal3	normal3_scan	4	PanCK	normal3_scan | 004 | PanCK		15875.79932	144	10254	33559	2348506	2209437	295427	2329540	2310862	87.42064104		0.9944	0.9937	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan		exclude	4	normal	tubule	include	include	normal3_scan	distal_tubule		exclude	4	normal	tubule	include	4c9e642d-c36c-4706-9a0b-dc2a1afb51fa	9f4dc517-5511-4077-a31d-90e83da29d79
normal3	normal3_scan	4	neg	normal3_scan | 004 | neg		122888.5698	486	10254	33559	6458141	6044456	844043	6407402	6359958	86.93055788		0.9945	0.9938	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan		exclude	4	normal	tubule	include	include	normal3_scan	proximal_tubule		exclude	4	normal	tubule	include	4c9e642d-c36c-4706-9a0b-dc2a1afb51fa	ca3d2695-7cdc-474e-a1ba-1d6951382683
normal3	normal3_scan	5	PanCK	normal3_scan | 005 | PanCK		23311.31661	199	21917	29257	3031498	2877361	380203	3009545	2988751	87.45824671		0.9946	0.9939	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan		exclude	5	normal	tubule	include	include	normal3_scan	distal_tubule		exclude	5	normal	tubule	include	2e2bd4b1-f615-4b79-912f-1595498845ce	477f6d6f-7dcd-4838-95c5-b856baffed13
normal3	normal3_scan	5	neg	normal3_scan | 005 | neg		89287.04853	359	21917	29257	363	197	124	357	354	65.84022039		0.9964	0.9941	"""GeoMx_NGS_Pipeline_ 2.0.0"""	exclude	normal3_scan		exclude	5	normal	tubule	exclude	exclude	normal3_scan	proximal_tubule		exclude	5	normal	tubule	exclude	2e2bd4b1-f615-4b79-912f-1595498845ce	c7fdad7a-888c-42ce-ae30-8fc13d6771b1
normal3	normal3_scan	6	PanCK	normal3_scan | 006 | PanCK		9671.788574	70	7360	27919	193	2	2	188	184	98.96373057		0.9973	0.9986	"""GeoMx_NGS_Pipeline_ 2.0.0"""	exclude	normal3_scan		exclude	6	normal	tubule	exclude	exclude	normal3_scan	distal_tubule		exclude	6	normal	tubule	exclude	49e8e6b9-76db-4b15-a0ff-3453e7d52de5	8859c93d-384e-4b25-b0fb-39c095ef9f55
normal3	normal3_scan	6	neg	normal3_scan | 006 | neg		77969.64703	341	7360	27919	7537862	7032210	604396	7452728	7389902	91.98186435		0.9927	0.9918	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan		exclude	6	normal	tubule	include	include	normal3_scan	proximal_tubule		exclude	6	normal	tubule	include	49e8e6b9-76db-4b15-a0ff-3453e7d52de5	1a628935-dfc6-4eb9-9e6a-5731162b6222
normal3	normal3_scan	7	Geometric Segment	normal3_scan | 007 | Geometric Segment		27983.32741	126	22237	7048	4097634	3872474	340051	4063835	4029758	91.7012842		0.9944	0.9937	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	7	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	7	normal	glomerulus	exclude	fe7c7f86-36ce-4b78-a8fb-b4eccdf1cb35	d1eaec46-d2e6-40c1-8323-bb57e37d5eb6
normal3	normal3_scan	8	Geometric Segment	normal3_scan | 008 | Geometric Segment		23475.44217	117	26360	7818	2451411	2319903	224773	2432054	2412667	90.83087251		0.9944	0.9937	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	8	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	8	normal	glomerulus	exclude	539e2b03-8b47-4bd5-a1fc-0653afa43610	8428c7c9-5dac-4686-8d28-413a0cbbc85c
normal3	normal3_scan	9	Geometric Segment	normal3_scan | 009 | Geometric Segment		14662.85172	78	27147	5512	1680845	1585519	140511	1667336	1652319	91.64045465		0.9946	0.9939	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	9	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	9	normal	glomerulus	exclude	891eb731-e844-457d-ad44-7f21ebd9bea6	8ce8bbec-eee8-4843-8bdc-41b59fe470ae
normal3	normal3_scan	10	Geometric Segment	normal3_scan | 010 | Geometric Segment		24797.64544	145	28882	5358	2865554	2715983	245838	2844391	2822804	91.42092594		0.9948	0.9941	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	10	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	10	normal	glomerulus	exclude	12e82b3c-4161-40ef-90c6-bb733e67779d	f0781caa-4acd-4efd-834c-56c3c591c842
normal3	normal3_scan	11	Geometric Segment	normal3_scan | 011 | Geometric Segment		24350.45573	128	26335	10453	3040227	2849333	257872	3000284	2968560	91.51800178		0.9924	0.9909	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	11	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	11	normal	glomerulus	exclude	a591624b-1661-4a2e-8b2c-d04e1d8e5817	60f0bbb2-8f60-4be8-8b91-0a437cd99bfa
normal3	normal3_scan	12	Geometric Segment	normal3_scan | 012 | Geometric Segment		22468.41808	120	25277	11931	3014033	2841642	232655	2989763	2961392	92.28094052		0.9947	0.994	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	12	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	12	normal	glomerulus	exclude	35c33768-461a-4728-a6e0-85398ead02f2	2488be6e-2db1-4b83-bec7-1847fde631cd
normal3	normal3_scan	13	Geometric Segment	normal3_scan | 013 | Geometric Segment		25761.90328	158	24774	14269	2576110	2421231	214075	2551962	2525411	91.68998995		0.9939	0.9931	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	13	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	13	normal	glomerulus	exclude	f41bfc95-a35d-4410-a107-de454e721dde	e159577b-d431-47e3-9552-1234ea8214d4
normal3	normal3_scan	14	Geometric Segment	normal3_scan | 014 | Geometric Segment		23327.93897	127	26774	13654	3155597	2978367	252057	3129610	3100761	92.01238308		0.9943	0.9935	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	14	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	14	normal	glomerulus	exclude	bc7073ae-daae-4d7d-bc32-d668ff2331c2	d37e6946-c073-42b9-a59d-da01be6cd94b
normal3	normal3_scan	15	Geometric Segment	normal3_scan | 015 | Geometric Segment		26355.95066	146	23786	16324	3458205	3266346	286784	3429351	3401751	91.70714287		0.9943	0.9936	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	15	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	15	normal	glomerulus	exclude	b77862e2-be19-4f72-be3c-8d73b8c907d5	4e017a50-9920-4797-8504-f6522e5f69ca
normal3	normal3_scan	16	Geometric Segment	normal3_scan | 016 | Geometric Segment		25468.51068	151	23136	17600	3810906	3588026	288337	3781174	3745199	92.43389892		0.9946	0.9938	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	16	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	16	normal	glomerulus	exclude	b7616f28-83a8-4eb2-9f76-050b7723c712	b2567314-0b96-4a02-a36e-80a583b4c242
normal3	normal3_scan	17	Geometric Segment	normal3_scan | 017 | Geometric Segment		26808.95012	135	23857	18098	2733866	2573886	262627	2706784	2684004	90.3935672		0.9936	0.9929	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	17	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	17	normal	glomerulus	exclude	cd166971-4119-4a39-bc0f-d2a9267a1588	5158055f-1ee6-40b4-9874-0d1ccb61eaec
normal3	normal3_scan	18	Geometric Segment	normal3_scan | 018 | Geometric Segment		24417.75206	163	23524	19162	3211778	3037285	276485	3184987	3159387	91.39152831		0.9942	0.9935	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	18	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	18	normal	glomerulus	exclude	7032ad6f-c3af-407e-9a14-ba4635d9c139	543b2435-5782-4ca6-83e6-0d8e7b872b67
normal3	normal3_scan	19	Geometric Segment	normal3_scan | 019 | Geometric Segment		26498.77379	131	28740	20215	2988413	2818188	256122	2955661	2927843	91.42949786		0.993	0.9918	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	19	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	19	normal	glomerulus	exclude	021ea72f-c92f-449a-8d9c-f2370686ea73	ac4e2aba-0965-4d26-becd-0147a5258c2f
normal3	normal3_scan	20	Geometric Segment	normal3_scan | 020 | Geometric Segment		31804.37058	175	20577	23964	3030875	2877449	296405	3009188	2986500	90.22048088		0.9947	0.994	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	20	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	20	normal	glomerulus	exclude	8b8f26bd-e62a-4f62-a8a3-4b71bbb35c5f	bdae6157-51e7-457d-b436-3e64c3130026
normal3	normal3_scan	21	Geometric Segment	normal3_scan | 021 | Geometric Segment		35587.97311	183	18744	26296	4664106	4399996	393561	4626837	4586481	91.5619199		0.9946	0.9939	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	21	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	21	normal	glomerulus	exclude	39be14f2-709a-48fa-bf72-5d9c030c55da	c72638bb-dcb5-49e3-8d74-db2890cc26a1
normal3	normal3_scan	22	Geometric Segment	normal3_scan | 022 | Geometric Segment		26084.66741	152	19568	27983	3221423	3050828	314809	3198855	3175032	90.22764164		0.9949	0.9943	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	abnormal	include	22	normal	glomerulus	exclude	include	normal3_scan	glomerulus	abnormal	include	22	normal	glomerulus	exclude	c6f373de-bb62-430a-8b87-1ac46e56b9df	1620c28f-44d6-4e87-b03b-640b5d13e3d3
normal3	normal3_scan	23	Geometric Segment	normal3_scan | 023 | Geometric Segment		22127.57916	107	21778	33332	3207462	3027196	252425	3177500	3153164	92.13007044		0.9936	0.9929	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	23	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	23	normal	glomerulus	exclude	bbbfeea8-1dec-44f9-b125-9d78ffc63018	ee59570e-f76c-4923-9af9-2ce9f24cc704
normal3	normal3_scan	24	Geometric Segment	normal3_scan | 024 | Geometric Segment		21787.38577	112	24321	33123	2649969	2499388	224129	2624965	2602427	91.54220295		0.9937	0.9929	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	24	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	24	normal	glomerulus	exclude	b56bee8f-d088-42a8-aa53-f0826737d148	8ccfd9ed-36bc-41b2-8634-f15e18b18621
normal3	normal3_scan	25	Geometric Segment	normal3_scan | 025 | Geometric Segment		27479.16984	144	23574	32666	3523803	3327543	285901	3493528	3464148	91.88657822		0.9941	0.9933	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	25	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	25	normal	glomerulus	exclude	309e0cef-4717-4f49-b971-0e6fa1933632	2afb57be-2ede-4c47-bc22-3792487ea9c9
normal3	normal3_scan	26	Geometric Segment	normal3_scan | 026 | Geometric Segment		25095.87949	129	15276	36817	141	6	6	139	138	95.74468085		0.9974	0.9964	"""GeoMx_NGS_Pipeline_ 2.0.0"""	exclude	normal3_scan	healthy	exclude	26	normal	glomerulus	exclude	exclude	normal3_scan	glomerulus	healthy	exclude	26	normal	glomerulus	exclude	5e821027-bbe3-4c92-b6a5-86f2da6ad25f	ddabff55-3ceb-4186-b8ad-6c476f54e54b
normal3	normal3_scan	27	Geometric Segment	normal3_scan | 027 | Geometric Segment		27705.91164	108	19287	37669	112	0	0	110	109	100		0.9954	0.9924	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	27	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	27	normal	glomerulus	exclude	05f5373e-1691-4f78-9fb9-edf067ffb828	e52c907c-5865-4ad1-8c07-57bd0195191b
normal3	normal3_scan	28	Geometric Segment	normal3_scan | 028 | Geometric Segment		35146.27039	158	16869	39986	120	1	1	119	118	99.16666667		0.9988	0.9979	"""GeoMx_NGS_Pipeline_ 2.0.0"""	exclude	normal3_scan	healthy	exclude	28	normal	glomerulus	exclude	exclude	normal3_scan	glomerulus	healthy	exclude	28	normal	glomerulus	exclude	f5e201b0-3f0d-460a-bcb8-93416c91617a	29583500-039c-453e-87c5-70b0c290218d
normal3	normal3_scan	29	Geometric Segment	normal3_scan | 029 | Geometric Segment		30810.90258	178	12081	39509	1735299	1619704	152832	1717667	1701400	91.19275698		0.9937	0.993	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	29	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	29	normal	glomerulus	exclude	b5cfd8bd-3beb-46a8-bdee-fd0ff11aee39	e6fd8811-e022-4cfd-be20-0936aae7c7b1
normal3	normal3_scan	30	Geometric Segment	normal3_scan | 030 | Geometric Segment		27445.11822	130	7563	42252	3731620	3527808	248300	3702355	3673311	93.34605346		0.9945	0.9937	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	30	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	30	normal	glomerulus	exclude	c0f26dc1-83c1-4996-85a7-2688ec6e9930	32deb759-b9a3-4f9f-8c13-771ec25f41b5
normal3	normal3_scan	31	Geometric Segment	normal3_scan | 031 | Geometric Segment		49933.54768	255	4580	39198	6197576	5847261	441669	6148931	6094986	92.87352023		0.9948	0.9941	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	31	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	31	normal	glomerulus	exclude	f22dd3bf-5952-434a-9989-f4f8d96743bc	84ecc79a-a829-4057-a207-18ed1f2cf03f
normal3	normal3_scan	32	Geometric Segment	normal3_scan | 032 | Geometric Segment		41998.39152	223	5097	37322	5388890	5092183	350744	5351199	5310843	93.4913498		0.9948	0.9941	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	32	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	32	normal	glomerulus	exclude	62dc2247-6ada-4107-9849-9a455725a729	11347092-5083-4072-9698-d394bcd5f933
normal3	normal3_scan	33	Geometric Segment	normal3_scan | 033 | Geometric Segment		31837.77667	164	9386	36076	2841620	2675941	231238	2815429	2790047	91.86245874		0.9939	0.9932	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	33	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	33	normal	glomerulus	exclude	77073e96-648f-49ef-87a3-be57de90dc13	9266e631-4f48-4cdb-8e5b-c3d4be1cdf04
normal3	normal3_scan	34	Geometric Segment	normal3_scan | 034 | Geometric Segment		20978.53886	100	5394	40134	2263322	2120052	190504	2233114	2209935	91.58299173		0.9924	0.9909	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	34	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	34	normal	glomerulus	exclude	96fa0dcb-9a22-4e3b-8322-507beed562c2	4961a7cf-dc40-47d4-9eba-30b31fbe42d2
normal3	normal3_scan	35	Geometric Segment	normal3_scan | 035 | Geometric Segment		25290.50627	127	9263	31932	3249115	3056790	248664	3220570	3192661	92.34671595		0.9942	0.9935	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	35	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	35	normal	glomerulus	exclude	225c2722-382c-47ef-ac1e-0822341d2cbc	3ac4b0a5-54c8-4078-a704-2b54898e02bc
normal3	normal3_scan	36	Geometric Segment	normal3_scan | 036 | Geometric Segment		25689.60411	132	6596	32735	3228035	3037700	225112	3198747	3172733	93.02634575		0.9939	0.9932	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	36	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	36	normal	glomerulus	exclude	29557f82-3752-49ad-a4b8-f04e674132f8	84170024-d936-465a-b8d0-d6b3be70bf01
normal3	normal3_scan	37	Geometric Segment	normal3_scan | 037 | Geometric Segment		34535.60066	181	9531	28420	5210416	4881977	389477	5161721	5113847	92.52503063		0.994	0.9933	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	37	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	37	normal	glomerulus	exclude	c1ed89e5-2a46-4c72-9878-3eb26d5e0ac2	56587fdd-f80f-4d1c-b61f-ae16d969201a
normal3	normal3_scan	38	Geometric Segment	normal3_scan | 038 | Geometric Segment		24650.30361	128	3643	25213	3869721	3646708	275062	3835084	3801687	92.89194234		0.9939	0.9932	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	38	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	38	normal	glomerulus	exclude	290a8cbd-26da-45c7-8224-998fbd6baf57	e9c876a8-375f-4ef3-a89e-b2c121d6ea81
normal3	normal3_scan	39	Geometric Segment	normal3_scan | 039 | Geometric Segment		18153.22303	83	4518	27724	2694606	2539445	187903	2673795	2653072	93.02669852		0.9945	0.9937	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	39	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	39	normal	glomerulus	exclude	962804ac-d66d-4ea4-89d0-8bfc360f4d74	5330dfd1-9113-4fbc-942e-0db4ef3c3f63
normal3	normal3_scan	40	Geometric Segment	normal3_scan | 040 | Geometric Segment		20003.46841	100	5053	33671	2169174	2036028	150244	2150099	2130766	93.07367689		0.9941	0.9934	"""GeoMx_NGS_Pipeline_ 2.0.0"""	include	normal3_scan	healthy	include	40	normal	glomerulus	exclude	include	normal3_scan	glomerulus	healthy	include	40	normal	glomerulus	exclude	892e311d-556a-4ad6-85da-22d8e3d0bca6	238d9fca-4757-4e92-b7cc-2aada68b4c31
